full_name,member_title,last_name,state,party_name,chamber,year_start,year_end,member_id
Bob Clement,Representative,Clement,Tennessee,Democratic,House,1987,2003,161
Bob Corker,Senator,Corker,Tennessee,Republican,Senate,2007,2019,162
Bob Etheridge,Representative,Etheridge,North Carolina,Democratic,House,1997,2011,163
Bob Filner,Representative,Filner,California,Democratic,House,1993,2013,164
Bob Franks,Representative,Franks,New Jersey,Republican,House,1993,2001,165
Bob Gibbs,Representative,Gibbs,Ohio,Republican,House,2011,2020,166
Bob Goodlatte,Representative,Goodlatte,Virginia,Republican,House,1993,2019,167
Bob Graham,Senator,Graham,Florida,Democratic,Senate,1987,2005,168
Bob Inglis,Representative,Inglis,South Carolina,Republican,House,1993,2011,169
Bob Livingston,Representative,Livingston,Louisiana,Republican,House,1977,2001,170
Bob McEwen,Representative,McEwen,Ohio,Republican,House,1981,1993,171
Bob Packwood,Senator,Packwood,Oregon,Republican,Senate,1969,1997,172
Bob Riley,Representative,Riley,Alabama,Republican,House,1997,2003,173
Bob Schaffer,Representative,Schaffer,Colorado,Republican,House,1997,2003,174
Bob Smith,Senator,Smith,New Hampshire,Republican,House,1985,1991,175
Bob Smith,Senator,Smith,New Hampshire,Republican,Senate,1991,2003,176
Bob Stump,Representative,Stump,Arizona,Republican,House,1977,2003,177
Bob Traxler,Representative,Traxler,Michigan,Democratic,House,1973,1993,178
Bob Whittaker,Representative,Whittaker,Kansas,Republican,House,1979,1991,179
Bobby Bright,Representative,Bright,Alabama,Democratic,House,2009,2011,180
Bobby Jindal,Representative,Jindal,Louisiana,Republican,House,2005,2008,181
Bobby L. Rush,Representative,Rush,Illinois,Democratic,House,1993,2020,182
Bonnie Watson Coleman,Representative,Watson Coleman,New Jersey,Democratic,House,2015,2020,183
Brad Ashford,Representative,Ashford,Nebraska,Democratic,House,2015,2017,184
Brad Carson,Representative,Carson,Oklahoma,Democratic,House,2001,2005,185
Brad Ellsworth,Representative,Ellsworth,Indiana,Democratic,House,2007,2011,186
Brad Miller,Representative,Miller,North Carolina,Democratic,House,2003,2013,187
Brad R. Wenstrup,Representative,Wenstrup,Ohio,Republican,House,2013,2020,188
Brad Sherman,Representative,Sherman,California,Democratic,House,1997,2020,189
Bradley Byrne,Representative,Byrne,Alabama,Republican,House,2014,2020,190
Bradley Scott Schneider,Representative,Schneider,Illinois,Democratic,House,2013,2020,191
Brenda Jones,Representative,Jones,Michigan,Democratic,House,2018,2019,192
Brenda L. Lawrence,Representative,Lawrence,Michigan,Democratic,House,2015,2020,193
Brendan F. Boyle,Representative,Boyle,Pennsylvania,Democratic,House,2015,2020,194
Brett Guthrie,Representative,Guthrie,Kentucky,Republican,House,2009,2020,195
Brian Babin,Representative,Babin,Texas,Republican,House,2015,2020,196
Brian Baird,Representative,Baird,Washington,Democratic,House,1999,2011,197
Brian D. Kerns,Representative,Kerns,Indiana,Republican,House,2001,2003,198
Brian Higgins,Representative,Higgins,New York,Democratic,House,2005,2020,199
Brian J. Donnelly,Representative,Donnelly,Massachusetts,Democratic,House,1979,1993,200
Brian J. Mast,Representative,Mast,Florida,Republican,House,2017,2020,201
Brian K. Fitzpatrick,Representative,Fitzpatrick,Pennsylvania,Republican,House,2017,2020,202
Brian P. Bilbray,Representative,Bilbray,California,Republican,House,1995,2013,203
Brian Schatz,Senator,Schatz,Hawaii,Democratic,Senate,2012,2020,204
Brock Adams,Senator,Adams,Washington,Democratic,House,1965,1979,205
Brock Adams,Senator,Adams,Washington,Democratic,Senate,1987,1993,206
Bruce A. Morrison,Representative,Morrison,Connecticut,Democratic,House,1983,1991,207
Bruce F. Vento,Representative,Vento,Minnesota,Democratic,House,1977,2001,208
Bruce L. Braley,Representative,Braley,Iowa,Democratic,House,2007,2015,209
Bruce Poliquin,Representative,Poliquin,Maine,Republican,House,2015,2019,210
Bruce Westerman,Representative,Westerman,Arkansas,Republican,House,2015,2020,211
Bryan Steil,Representative,Steil,Wisconsin,Republican,House,2019,2020,212
Bud Shuster,Representative,Shuster,Pennsylvania,Republican,House,1973,2001,213
Buddy MacKay,Representative,MacKay,Florida,Democratic,House,1983,1989,214
Buddy Roemer,Representative,Roemer,Louisiana,Democratic,House,1981,1989,215
Butler C. Derrick,Representative,Derrick,South Carolina,Democratic,House,1975,1995,216
Byron L. Dorgan,Senator,Dorgan,North Dakota,Democratic,House,1981,1993,217
Byron L. Dorgan,Senator,Dorgan,North Dakota,Democratic,Senate,1991,2011,218
C. A. Dutch Ruppersberger,Representative,Ruppersberger,Maryland,Democratic,House,2003,2020,219
C. L. (Butch) Otter,Representative,Otter,Idaho,Republican,House,2001,2007,220
C. W. Bill Young,Representative,Young,Florida,Republican,House,1971,2013,221
Calvin M. Dooley,Representative,Dooley,California,Democratic,House,1991,2005,222
Candice S. Miller,Representative,Miller,Michigan,Republican,House,2003,2017,223
Cardiss Collins,Representative,Collins,Illinois,Democratic,House,1973,1997,224
Carl C. Perkins,Representative,Perkins,Kentucky,Democratic,House,1984,1993,225
Carl D. Pursell,Representative,Pursell,Michigan,Republican,House,1977,1993,226
Carl Levin,Senator,Levin,Michigan,Democratic,Senate,1979,2015,227
Carlos A. Romero-Barcelo,Resident Commissioner,Romero-Barcelo,Puerto Rico,Democratic,House,1993,2001,228
Carlos Curbelo,Representative,Curbelo,Florida,Republican,House,2015,2019,229
